source_file,sheet_name,model,operator_no,station_no,cart,bin_location,step_no,component_part,quantity,process_route,width,depth,height,volume,storage,bin_model,bin_capacity,batch_size,days_of_stock,required_bins,assembled_using,tool_used
Material Northface.xlsx,Plan for every part,ASY-03131-08;C0,6.0,10.0,C35-B1-PB35,,7,MTL-02368-02;A0,1.0,,1.8,0.6,0.1,0.10800000000000001,Bin,1,15463.0,100.0,4.0,0.006467050378322447,SK3025PT x2,Rivet gun
Material Northface.xlsx,Plan for every part,ASY-03131-08;C0,6.0,10.0,C35-B1-PB35,,8,MTL-03292-01;A0,2.0,,15.1,0.6,0.3,2.7179999999999995,Bin,1,615.0,200.0,4.0,0.3252032520325203,SK3030PT x12,Rivet gun
Material Northface.xlsx,Plan for every part,ASY-03131-08;C0,6.0,10.0,C35-B1-PB35,,9,B MTL-03296-02;B0,12.0,BUY,2.0,0.5,0.5,0.5,Bin,1,3340.0,1200.0,4.0,0.3592814371257485,FAS-00617,"Atornillador
6 in/lb"
Material Northface.xlsx,Plan for every part,ASY-03131-08;C0,6.0,10.0,,,12,ASY-03188-06;A0,1.0,,29.1,17.1,3.4,1691.8740000000003,Cart,,,,,,,
Material Northface.xlsx,Plan for every part,ASY-03131-08;C0,6.0,10.0,C33-B2-PB33,,13,ASY-03189-05;A0,1.0,,17.1,2.0,1.8,61.56000000000001,Bin,2,176.0,100.0,4.0,0.5681818181818182,SK41H x4,Rivet gun
Material Northface.xlsx,Plan for every part,ASY-03131-08;C0,6.0,10.0,C35-B1-PB35,,16,MTL-03292-01;A0,1.0,,15.1,0.6,0.3,2.7179999999999995,Bin,1,615.0,100.0,4.0,0.16260162601626016,SK3030PT x12,Rivet gun
Material Northface.xlsx,Plan for every part,ASY-03131-08;C0,6.0,10.0,C35-B1-PB35,,17,MTL-02844-02;A0,2.0,,0.75,3.0,0.75,1.6875,Bin,1,990.0,200.0,4.0,0.20202020202020202,,
Material Northface.xlsx,Plan for every part,ASY-03131-08;C0,6.0,10.0,C35-B1-PB35,,17,A MECH-01645-02A0,2.0,BUY,0.5,0.5,1.5,0.375,Bin,1,4454.0,200.0,4.0,0.0449034575662326,Assembly,Manually
Material Northface.xlsx,Plan for every part,ASY-03278-05;A0,2.0,4.0,C11-B2-PB11,,1,MTL-02356-04;B0,4.0,,6.8,5.2,1.4,49.504,Bin,2,218.0,400.0,4.0,1.834862385321101,Place on fixture,Manually
Material Northface.xlsx,Plan for every part,ASY-03278-05;A0,2.0,4.0,C-13-B1-PB13,,3,MTL-02357-02;A0,8.0,,3.7,0.6,0.2,0.44400000000000006,Bin,1,3762.0,800.0,4.0,0.2126528442317916,SK41H x4,Rivet gun
Material Northface.xlsx,Plan for every part,ASY-03278-05;A0,2.0,4.0,C-13-B1-PB13,,4,MTL-02358-03;A3,8.0,,1.5,0.6,0.1,0.09,Bin,1,18555.0,800.0,4.0,0.04311506332524926,SK42H x4,Rivet gun
Material Northface.xlsx,Plan for every part,ASY-03278-05;A0,2.0,4.0,C-13-B1-PB13,,5,"H FAS-00797
(SPRING)",4.0,BUY,3.0,0.5,0.5,0.75,Bin,1,2227.0,400.0,4.0,0.1796138302649304,Assembly,Manually
Material Northface.xlsx,Plan for every part,ASY-03278-05;A0,2.0,4.0,C-13-B1-PB13,,6,MTL-02360-06;A0,4.0,,1.8,1.2,0.1,0.21600000000000003,Bin,1,7732.0,400.0,4.0,0.05173305742369374,Assembly,Manually
Material Northface.xlsx,Plan for every part,ASY-03278-05;A0,2.0,4.0,C12-B2-PB12,,7-8,MTL-02362-04;B0,4.0,,6.6,4.3,0.8,22.704,Bin,2,475.0,400.0,4.0,0.8421052631578947,"Place on fixture
SK42H x2",Rivet gun
Material Northface.xlsx,Plan for every part,ASY-03278-05;A0,2.0,4.0,C-13-B1-PB13,,9,MTL-02363-03;A0,4.0,,3.5,1.1,0.4,1.5400000000000003,Bin,1,1085.0,400.0,4.0,0.3686635944700461,SK42H x4,Rivet gun
