source_file,sheet_name,process_sheet_number,end_item_part,parent_part,work_center,step_number,run_setup,operation_code,component_part,description,standard_rate,lead_time,crew_size
North face - Components matrix 1.xlsx,Assy WC,ASY-04756-04;A0,ASY-04756-04;A0,ASY-53727-127;A0,6N042,00110,R,102,,PUNZONADO EN TORRETA,16.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-04756-04;A0,ASY-04756-04;A0,ASY-53727-127;A0,6DBR,00120,R,200,,REBABEO PARA MANEJO,30.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-04756-04;A0,ASY-04756-04;A0,ASY-53727-127;A0,6BRK,00140,R,302,,DOBLADORA AMADA,44.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-04756-04;A0,ASY-04756-04;A0,ASY-53727-127;A0,6APEM,00160,R,400,,INSERCION DE PEM,55.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-04756-04;A0,ASY-04756-04;A0,ASY-53727-127;A0,6APEM,00180,R,400,,INSERCION DE PEM,15.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-04756-04;A0,ASY-04756-04;A0,ASY-53727-127;A0,6SLK,00190,R,700,,SERIGRAFIA DE ACUERDO,60.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-04757-04;A0,ASY-04757-04;A0,ASY-53727-127;A0,6N042,00110,R,102,,PUNZONADO EN TORRETA,16.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-04757-04;A0,ASY-04757-04;A0,ASY-53727-127;A0,6DBR,00120,R,200,,REBABEO PARA MANEJO,30.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-04757-04;A0,ASY-04757-04;A0,ASY-53727-127;A0,6BRK,00140,R,302,,DOBLADORA AMADA,44.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-04757-04;A0,ASY-04757-04;A0,ASY-53727-127;A0,6APEM,00160,R,400,,INSERCION DE PEM,55.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-04757-04;A0,ASY-04757-04;A0,ASY-53727-127;A0,6APEM,00180,R,400,,INSERCION DE PEM,15.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-04757-04;A0,ASY-04757-04;A0,ASY-53727-127;A0,6SLK,00190,R,700,,SERIGRAFIA DE ACUERDO,60.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-04776-01;B0,ASY-04776-01;B0,ASY-53727-127;A0,6SLK,00100,R,700,,SERIGRAFIA DE ACUERDO,80.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-04780-05;B0,ASY-04780-05;B0,ASY-53727-127;A0,6APEM,00110,R,400,,INSTALACION DE REMACHE,1.78,0.0,1.0
