Process Sheet Number,EndItemPartNumber,Parent:,Work Center/Vendor,Description 1,Description 2,Step Number,Run/Setup,Operation Code,Component Part Number,Description 11,Description 21,Standard Rate,Lead Time,Crew Size,Overlap Step Number,Overlap Quantity
ASY-04183-01;A0,ASY-04183-01;A0,ASY-53727-127;A0,6N03  ,KSS 01 23 19,  KSS 03 13 19,00110,R,104  ,,CORTE LASER AMADA,,34,0,0,,0
ASY-04183-01;A0,ASY-04183-01;A0,ASY-53727-127;A0,6APEM ,KSS 01 23 19,  KSS 03 13 19,00130,R,400  ,,INSERCION DE PEM,  AS-M4-1 (4X),30,0,1,,0
ASY-04183-01;A0,ASY-04183-01;A0,ASY-53727-127;A0,6BRG  ,KSS 01 23 19,  KSS 03 13 19,00150,R,303  ,,ESTAMPADO DE NUMERO DE, PARTE,250,0,1,,0
ASY-04183-01;A0,ASY-04183-01;A0,ASY-53727-127;A0,6BRK  ,KSS 01 23 19,  KSS 03 13 19,00170,R,302  ,,DOBLADORA AMADA,,80,0,1,,0
ASY-04183-01;A0,ASY-04183-01;A0,ASY-53727-127;A0,6APEM ,KSS 01 23 19,  KSS 03 13 19,00190,R,400  ,,INSERCION DE PEM,CLS-M3-1 (7X),15,0,1,,0
ASY-04184-02;A0,ASY-04184-02;A0,ASY-53727-127;A0,6N04  ,KSS 05 14 19,,00110,R,102  ,,PUNZONADO EN TORRETA,,127,0,1,,0
ASY-04184-02;A0,ASY-04184-02;A0,ASY-53727-127;A0,6BRK  ,KSS 05 14 19,,00150,R,302  ,,DOBLADORA AMADA,,35,0,1,,0
ASY-04184-02;A0,ASY-04184-02;A0,ASY-53727-127;A0,6APEM ,KSS 05 14 19,,00170,R,400  ,,INSERCION DE PEM,PF11-M4-0 (6X),18,0,1,,0
ASY-04192-06;B0,ASY-04192-06;B0,ASY-53727-127;A0,6AARI,JCG 20 08 24,,00100,R,801  ,,ENSAMBLE SEGUN DIBUJO,,2,0,2,,0
ASY-04756-04;A0,ASY-04756-04;A0,ASY-53727-127;A0,6N042 ,JCG 20 08 24,,00110,R,102  ,,PUNZONADO EN TORRETA,,16,0,1,,0
ASY-04756-04;A0,ASY-04756-04;A0,ASY-53727-127;A0,6DBR ,JCG 20 08 24,,00120,R,200  ,,REBABEO PARA MANEJO, SEGURO,30,0,1,,0
ASY-04756-04;A0,ASY-04756-04;A0,ASY-53727-127;A0,6BRK ,JCG 20 08 24,,00140,R,302  ,,DOBLADORA AMADA,,44,0,1,,0
ASY-04756-04;A0,ASY-04756-04;A0,ASY-53727-127;A0,6APEM ,JCG 20 08 24,,00160,R,400  ,,INSERCION DE PEM, H GPSS-M3-6-P(2),55,0,1,,0
ASY-04756-04;A0,ASY-04756-04;A0,ASY-53727-127;A0,6APEM ,JCG 20 08 24,,00180,R,400  ,,INSERCION DE PEM, H MECH-04255-01(8),15,0,1,,0
ASY-04756-04;A0,ASY-04756-04;A0,ASY-53727-127;A0,6SLK ,JCG 20 08 24,,00190,R,700  ,,SERIGRAFIA DE ACUERDO, A DIBUJO,60,0,1,,0
ASY-04757-04;A0,ASY-04757-04;A0,ASY-53727-127;A0,6N042 ,JCG 20 08 24,,00110,R,102  ,,PUNZONADO EN TORRETA,,16,0,1,,0
ASY-04757-04;A0,ASY-04757-04;A0,ASY-53727-127;A0,6DBR ,JCG 20 08 24,,00120,R,200  ,,REBABEO PARA MANEJO, SEGURO,30,0,1,,0
ASY-04757-04;A0,ASY-04757-04;A0,ASY-53727-127;A0,6BRK ,JCG 20 08 24,,00140,R,302  ,,DOBLADORA AMADA,,44,0,1,,0
ASY-04757-04;A0,ASY-04757-04;A0,ASY-53727-127;A0,6APEM ,JCG 20 08 24,,00160,R,400  ,,INSERCION DE PEM, H GPSS-M3-6-P(2),55,0,1,,0
ASY-04757-04;A0,ASY-04757-04;A0,ASY-53727-127;A0,6APEM ,JCG 20 08 24,,00180,R,400  ,,INSERCION DE PEM, H MECH-04255-01(8),15,0,1,,0
ASY-04757-04;A0,ASY-04757-04;A0,ASY-53727-127;A0,6SLK ,JCG 20 08 24,,00190,R,700  ,,SERIGRAFIA DE ACUERDO, A DIBUJO,60,0,1,,0
ASY-04776-01;B0,ASY-04776-01;B0,ASY-53727-127;A0,6SLK  ,JCG 11 10 19,,00100,R,700  ,,SERIGRAFIA DE ACUERDO, A DIBUJO,80,0,1,,0
ASY-04780-05;B0,ASY-04780-05;B0,ASY-53727-127;A0,6APEM,JCG 05 03 21,  SJR 03 29 22,00110,R,400  ,,INSTALACION DE REMACHE, SOLIDO,1.78,0,1,,0
